ub_dot,vb_dot,wb_dot,pb_dot,qb_dot,rb_dot,latitude_dot,longitude_dot,altitude_dot,phi_dot,theta_dot,psi_dot
5.00340575234559e-05,3.55388257475243e-05,-0.00069840645351322,8.10464417853019e-07,2.19776813257503e-05,8.02183945559202e-07,-8.24562882558768e-06,1.62979208522076e-11,-8.21087863897234,9.66486731538933e-06,-8.35834917265048e-06,-9.57809602021323e-06
5.07416653638152e-05,3.6312674815262e-05,-0.000707665995529543,8.37363639596994e-07,2.30138878047663e-05,8.51401566315763e-07,-8.24562883752874e-06,1.68109205070938e-11,-8.21088227804497,9.66898803197754e-06,-8.24586726332867e-06,-9.57396144199901e-06
5.13773484380377e-05,3.70436177009777e-05,-0.000715932708399426,8.62554510600206e-07,2.4043976046943e-05,9.01148895478927e-07,-8.24562884985643e-06,1.7323480357616e-11,-8.2108857741516,9.67323899262914e-06,-8.12821888314341e-06,-9.5695793493145e-06
5.19418861148581e-05,3.77313300716749e-05,-0.00072322811571058,8.85982450439276e-07,2.50661775161744e-05,9.51343797726177e-07,-8.24562886256376e-06,1.78356007796747e-11,-8.2108891277653,9.67761151441345e-06,-8.00543907896241e-06,-9.56494729916171e-06
5.24361040834197e-05,3.83755544308875e-05,-0.000729574811836766,9.07603611050694e-07,2.60788058633814e-05,1.00190549356893e-06,-8.24562887564384e-06,1.83472820947821e-11,-8.21089233928279,9.68209666850604e-06,-7.87757153492939e-06,-9.56006325595417e-06
5.28608710313297e-05,3.89760991251562e-05,-0.00073499637741203,9.27384465455345e-07,2.70802570827019e-05,1.05275462142185e-06,-8.2456288890899e-06,1.88585245818707e-11,-8.21089540902651,9.68668533282678e-06,-7.74466816106521e-06,-9.55492558458135e-06
5.32170953565476e-05,3.95328372757775e-05,-0.000739517296239336,9.45301360483814e-07,2.8069009512487e-05,1.10381329081513e-06,-8.24562890289527e-06,1.93693284663625e-11,-8.21089833724686,9.69136824252187e-06,-7.60678868148645e-06,-9.54953304318231e-06
5.35057219193056e-05,4.00457056772422e-05,-0.000743162873508779,9.61340089341732e-07,2.90436236598649e-05,1.15500514367335e-06,-8.24562891705338e-06,1.98796939235977e-11,-8.21090112412439,9.6961360382903e-06,-7.46400022305624e-06,-9.54388477563163e-06
5.37277288445083e-05,4.05147036333731e-05,-0.000745959155689474,9.75495457716495e-07,3.00027418862644e-05,1.20625539661944e-06,-8.24562893155775e-06,2.03896210827255e-11,-8.21090376977216,9.70097931249339e-06,-7.31637690527069e-06,-9.53798030377046e-06
5.3884124402179e-05,4.09398917410077e-05,-0.000747932851820717,9.87770834626791e-07,3.09450879418732e-05,1.25749089772682e-06,-8.24562894640198e-06,2.08991100264294e-11,-8.21090627423801,9.70588865311216e-06,-7.16399943208554e-06,-9.53181951938509e-06
