ub,vb,wb,pb,qb,rb,latitude,longitude,altitude,phi,theta,psi
172.348971886101,-2.85794432468201e-05,8.21236250708242,9.61988886637638e-06,-9.52187667117759e-06,-9.61546886921182e-06,0.660221462095243,-1.31761994177512,1499.58946238195,1.00979912124391e-05,9.13762931944393e-06,3.14159263119251
172.348972013672,-2.85005954006837e-05,8.21236070327392,9.6208285176001e-06,-9.49617832602706e-06,-9.61487479361701e-06,0.660221420867099,-1.31761994177508,1499.54840842767,1.01460924954391e-05,9.09008304904271e-06,3.14159258311612
172.348972151369,-2.84147581769182e-05,8.21235875687591,9.62194072023154e-06,-9.46660197399557e-06,-9.61415266193398e-06,0.660221379638956,-1.31761994177504,1499.50735444187,1.0194198907504e-05,9.04267489075139e-06,3.14159253504301
172.34897229882,-2.83220600852731e-05,8.2123566734062,9.6232324408321e-06,-9.43296291024e-06,-9.61329193492734e-06,0.660221338410812,-1.317619941775,1499.46630042535,1.02423113294359e-05,8.99542470256419e-06,3.14159248697385
172.34897245565,-2.8222637567655e-05,8.21235445843987,9.62470913305372e-06,-9.39509130825402e-06,-9.61228253872587e-06,0.660221297182669,-1.31761994177496,1499.42524637894,1.02904306730524e-05,8.9483532287055e-06,3.14159243890937
172.34897262148,-2.81166346322026e-05,8.21235211759632,9.62637482064115e-06,-9.35283198628346e-06,-9.61111486568278e-06,0.660221255954525,-1.31761994177491,1499.38419230344,1.03385578738296e-05,8.90148202581403e-06,3.14159239085032
172.348972795932,-2.800420248582e-05,8.21234965652667,9.62823217938286e-06,-9.30604415421982e-06,-9.60977977467691e-06,0.660221214726382,-1.31761994177486,1499.34313819965,1.03866938839581e-05,8.85483339034415e-06,3.14159234279753
172.348972978624,-2.78854991656666e-05,8.21234708090154,9.6302826179199e-06,-9.25460114212593e-06,-9.60826859086569e-06,0.660221173498238,-1.31761994177481,1499.30208406836,1.04348396658056e-05,8.80843028727933e-06,3.14159229475185
172.348973169175,-2.77606891700163e-05,8.21234439639937,9.63252635735498e-06,-9.19839011167792e-06,-9.60657310490654e-06,0.660221132270095,-1.31761994177475,1499.26102991035,1.04829961857805e-05,8.76229628024599e-06,3.14159224671418
172.348973367203,-2.76299430889538e-05,8.21234160869505,9.63496250949568e-06,-9.13731175167247e-06,-9.6046855716691e-06,0.660221091041951,-1.3176199417747,1499.21997572639,1.05311644085907e-05,8.71645546311057e-06,3.14159219868547
172.348973572325,-2.74934372352845e-05,8.21233872344905,9.63758915371174e-06,-9.07127995884715e-06,-9.60259870843949e-06,0.660221049813807,-1.31761994177464,1499.17892151725,1.05793452918896e-05,8.67093239313628e-06,3.14159215066669
172.348973784159,-2.73513532761394e-05,8.212335746297,9.6404034122903e-06,-9.00022150514926e-06,-9.60030569264027e-06,0.660221008585663,-1.31761994177458,1499.13786728368,1.06275397813028e-05,8.62575202577008e-06,3.14159210265886
172.348974002325,-2.72038778655994e-05,8.21233268283965,9.64340152423904e-06,-8.92407569264084e-06,-9.5978001590853e-06,0.66022096735752,-1.31761994177451,1499.09681302644,1.06757488058284e-05,8.58093965112469e-06,3.14159205466303
172.348974226443,-2.70512022788191e-05,8.21232953863332,9.64657891740553e-06,-8.84279399714886e-06,-9.59507619677393e-06,0.660220926129376,-1.31761994177444,1499.05575874627,1.07239732736008e-05,8.53652083221472e-06,3.14159200668027
172.348974456135,-2.68935220479745e-05,8.21232631918085,9.64993027890319e-06,-8.75633970182056e-06,-9.5921283452386e-06,0.660220884901232,-1.31761994177437,1499.01470444392,1.07722140680122e-05,8.49252134500019e-06,3.14159195871169
172.348974691024,-2.67310366004363e-05,8.21232302992286,9.653449623759e-06,-8.66468752163511e-06,-9.58895159048307e-06,0.660220843673088,-1.3176199417743,1498.97365012011,1.08204720441813e-05,8.44896712028541e-06,3.14159191075842
172.348974930737,-2.65639488995408e-05,8.21231967622962,9.65713036172269e-06,-8.56782321994848e-06,-9.58554136049161e-06,0.660220802444944,-1.31761994177423,1498.93259577558,1.08687480257603e-05,8.40588418751554e-06,3.14159186282162
172.348975174902,-2.63924650882952e-05,8.21231626339322,9.66096536214744e-06,-8.46574321814649e-06,-9.58189352035821e-06,0.6602207612168,-1.31761994177415,1498.89154141106,1.09170428020719e-05,8.36329862050818e-06,3.14159181490247
172.348975423152,-2.62167941363841e-05,8.21231279662032,9.66494701699139e-06,-8.35845419939142e-06,-9.57800436702213e-06,0.660220719988656,-1.31761994177407,1498.85048702726,1.09653571255654e-05,8.32123648515183e-06,3.14159176700216
172.348975675122,-2.60371474907953e-05,8.21230928102522,9.66906730173384e-06,-8.24597270748831e-06,-9.57387062365026e-06,0.660220678760512,-1.31761994177399,1498.80943262491,1.10136917095827e-05,8.27972378909821e-06,3.14159171912192
172.348975930449,-2.58537387304029e-05,8.21230572162348,9.67331783434966e-06,-8.12832474178479e-06,-9.56948943366305e-06,0.660220637532368,-1.3176199417739,1498.76837820472,1.10620472264247e-05,8.23878643347061e-06,3.14159167126296
172.348976188776,-2.56667832248146e-05,8.21230212332587,9.67768993215722e-06,-8.00554534909126e-06,-9.56485835442498e-06,0.660220596304223,-1.31761994177381,1498.7273237674,1.11104243057062e-05,8.19845016660548e-06,3.14159162342654
172.34897644975,-2.54764977977888e-05,8.21229849093284,9.68217466658169e-06,-7.87767821349777e-06,-9.55997535061015e-06,0.660220555076079,-1.31761994177372,1498.68626931367,1.1158823532991e-05,8.15874053984011e-06,3.14159157561391
